route	count
main	8184
main-archive	1111
main-rabota	1047
main-internet	896
main-bonus	872
main-news	769
main-tariffs	675
main-online	587
main-vklad	516
main-rabota-archive	170
main-archive-rabota	167
main-bonus-archive	143
main-rabota-bonus	139
main-news-rabota	135
main-bonus-rabota	135
main-archive-internet	133
main-rabota-news	129
main-internet-rabota	129
main-archive-news	126
main-rabota-internet	124
main-internet-archive	123
main-archive-bonus	117
main-internet-bonus	116
main-tariffs-internet	115
main-news-archive	112
main-news-internet	108
main-archive-tariffs	104
main-tariffs-archive	103
main-internet-news	103
main-rabota-main	94
